"Страница входа, ур. 1","Страница входа, ур. 2","Страница входа, ур. 3","Страница входа, ур. 4","Страница входа","Источник трафика (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/casio_collections/casio_w_735h_8a/","Не определено","Не определено","1497","1489","0.15497661990647962","1.7221108884435539","00:00:34","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/f/casio/nerzhaveyushchaya-stal/","Дзен","Не определено","1491","1491","0.002012072434607646","2.7706237424547284","00:03:01","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/f/casio/nerzhaveyushchaya-stal/","mail.ru","Не определено","1486","1486","0.005383580080753701","2.7947510094212653","00:03:00","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/f/casio/zheltoe-zoloto/","mail.ru","Не определено","1479","1479","0.001352265043948614","2.777552400270453","00:03:07","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/kvartsevye/","Яндекс","Не определено","1477","1477","0.0033852403520649972","2.5226811103588354","00:02:05","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/f/","https://tempus.ru/catalog/watches/f/muzhskie/","Яндекс","Не определено","1456","1456","0.003434065934065934","2.534340659340659","00:02:03","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/f/casio/zheltoe-zoloto/","Дзен","Не определено","1448","1448","0.002762430939226519","2.800414364640884","00:03:06","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/filter/","https://tempus.ru/catalog/watches/filter/brand-is-seiko/section_collection-is-seiko 5/apply/?ybaip=1","Яндекс: Директ","Не определено","1407","774","0.16204690831556504","3.044776119402985","00:02:35","0","0.0","0.0"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/","Google","Не определено","1328","1081","0.08734939759036145","8.37198795180723","00:07:35","14","209312.0","0.012025901942645698"
"https://tempus.ru/","https://tempus.ru/catalog/","https://tempus.ru/catalog/watches/","https://tempus.ru/catalog/watches/casio/","https://tempus.ru/catalog/watches/casio/g_shock/casio_aw_591_2a/","Не определено","Не определено","1209","1206","0.1703887510339123","1.6145574855252274","00:00:34","0","0.0","0.0"
